,Category Name,Category Code,Subcategory Name,Variable Name,Variable Code,Geography,Units, 
0,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store, 2010",LACCESS_POP10,CNTY10,Count,
2,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (% change), 2010 -15",PCH_LACCESS_POP_10_15,CNTY10,% change,
3,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (%), 2010",PCT_LACCESS_POP10,CNTY10,Percent,
4,Access and Proximity to Grocery Store,ACCESS,Overall,"Population, low access to store (%), 2015",PCT_LACCESS_POP15,CNTY10,Percent,
5,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store, 2010",LACCESS_LOWI10,CNTY10,Count,
8,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store (%), 2010",PCT_LACCESS_LOWI10,CNTY10,Percent,
9,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Low income & low access to store (%), 2015",PCT_LACCESS_LOWI15,CNTY10,Percent,
10,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store, 2010",LACCESS_HHNV10,CNTY10,Count,
11,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store, 2015",LACCESS_HHNV15,CNTY10,Count,
12,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (% change), 2010 - 15",PCH_LACCESS_HHNV_10_15,CNTY10,% change,
13,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (%), 2010",PCT_LACCESS_HHNV10,CNTY10,Percent,
14,Access and Proximity to Grocery Store,ACCESS,Household Resources,"Households, no car & low access to store (%), 2015",PCT_LACCESS_HHNV15,CNTY10,Percent,
15,Access and Proximity to Grocery Store,ACCESS,Household Resources,"SNAP households, low access to store, 2015",LACCESS_SNAP15,CNTY10,Count,
16,Access and Proximity to Grocery Store,ACCESS,Household Resources,"SNAP households, low access to store (%), 2015",PCT_LACCESS_SNAP15,CNTY10,Percent,
17,Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store, 2010",LACCESS_CHILD10,CNTY10,Count,
20,Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store (%), 2010",PCT_LACCESS_CHILD10,CNTY10,Percent,
21,Access and Proximity to Grocery Store,ACCESS,Demographics,"Children, low access to store (%), 2015",PCT_LACCESS_CHILD15,CNTY10,Percent,
22,Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store, 2010",LACCESS_SENIORS10,CNTY10,Count,
25,Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store (%), 2010",PCT_LACCESS_SENIORS10,CNTY10,Percent,
26,Access and Proximity to Grocery Store,ACCESS,Demographics,"Seniors, low access to store (%), 2015",PCT_LACCESS_SENIORS15,CNTY10,Percent,
27,Access and Proximity to Grocery Store,ACCESS,Demographics,"White, low access to store, 2015",LACCESS_WHITE15,CNTY10,Count,
28,Access and Proximity to Grocery Store,ACCESS,Demographics,"White, low access to store (%), 2015",PCT_LACCESS_WHITE15,CNTY10,Percent,
29,Access and Proximity to Grocery Store,ACCESS,Demographics,"Black, low access to store, 2015",LACCESS_BLACK15,CNTY10,Count,
30,Access and Proximity to Grocery Store,ACCESS,Demographics,"Black, low access to store (%), 2015",PCT_LACCESS_BLACK15,CNTY10,Percent,
31,Access and Proximity to Grocery Store,ACCESS,Demographics,"Hispanic ethnicity, low access to store, 2015",LACCESS_HISP15,CNTY10,Count,
32,Access and Proximity to Grocery Store,ACCESS,Demographics,"Hispanic ethnicity, low access to store (%), 2015",PCT_LACCESS_HISP15,CNTY10,Percent,
33,Access and Proximity to Grocery Store,ACCESS,Demographics,"Asian, low access to store, 2015",LACCESS_NHASIAN15,CNTY10,Count,
34,Access and Proximity to Grocery Store,ACCESS,Demographics,"Asian, low access to store (%), 2015",PCT_LACCESS_NHASIAN15,CNTY10,Percent,
35,Access and Proximity to Grocery Store,ACCESS,Demographics,"American Indian or Alaska Native, low access to store, 2015",LACCESS_NHNA15,CNTY10,Count,
36,Access and Proximity to Grocery Store,ACCESS,Demographics,"American Indian or Alaska Native, low access to store (%), 2015",PCT_LACCESS_NHNA15,CNTY10,Percent,
37,Access and Proximity to Grocery Store,ACCESS,Demographics,"Hawaiian or Pacific Islander, low access to store, 2015",LACCESS_NHPI15,CNTY10,Count,
38,Access and Proximity to Grocery Store,ACCESS,Demographics,"Hawaiian or Pacific Islander, low access to store (%), 2015",PCT_LACCESS_NHPI15,CNTY10,Percent,
39,Access and Proximity to Grocery Store,ACCESS,Demographics,"Multiracial, low access to store, 2015",LACCESS_MULTIR15,CNTY10,Count,
40,Access and Proximity to Grocery Store,ACCESS,Demographics,"Multiracial, low access to store (%), 2015",PCT_LACCESS_MULTIR15,CNTY10,Percent,
41,Store Availability,STORES,Grocery,"Grocery stores, 2009",GROC09,CNTY10,Count,
43,Store Availability,STORES,Grocery,"Grocery stores (% change), 2009-14",PCH_GROC_09_14,CNTY10,% change,
44,Store Availability,STORES,Grocery,"Grocery stores/1,000 pop, 2009",GROCPTH09,CNTY10,"# per 1,000 pop",
45,Store Availability,STORES,Grocery,"Grocery stores/1,000 pop, 2014",GROCPTH14,CNTY10,"# per 1,000 pop",
47,Store Availability,STORES,Supercenters,"Supercenters & club stores, 2009",SUPERC09,CNTY10,Count,
49,Store Availability,STORES,Supercenters,"Supercenters & club stores (% change), 2009-14",PCH_SUPERC_09_14,CNTY10,% change,
50,Store Availability,STORES,Supercenters,"Supercenters & club stores/1,000 pop, 2009",SUPERCPTH09,CNTY10,"# per 1,000 pop",
51,Store Availability,STORES,Supercenters,"Supercenters & club stores/1,000 pop, 2014",SUPERCPTH14,CNTY10,"# per 1,000 pop",
53,Store Availability,STORES,Convenience,"Convenience stores, 2009",CONVS09,CNTY10,Count,
55,Store Availability,STORES,Convenience,"Convenience stores (% change), 2009-14",PCH_CONVS_09_14,CNTY10,% change,
56,Store Availability,STORES,Convenience,"Convenience stores/1,000 pop, 2009",CONVSPTH09,CNTY10,"# per 1,000 pop",
57,Store Availability,STORES,Convenience,"Convenience stores/1,000 pop, 2014",CONVSPTH14,CNTY10,"# per 1,000 pop",
59,Store Availability,STORES,Specialized,"Specialized food stores, 2009",SPECS09,CNTY10,Count,
61,Store Availability,STORES,Specialized,"Specialized food stores (% change), 2009-14",PCH_SPECS_09_14,CNTY10,% change,
62,Store Availability,STORES,Specialized,"Specialized food stores/1,000 pop, 2009",SPECSPTH09,CNTY10,"# per 1,000 pop",
