,2010 Census Population,GROC09,GROCPTH14,SUPERCPTH14,CONVSPTH14,SPECSPTH14,SNAPSPTH16,WICSPTH12,FFRPTH14,FSRPTH14,PC_FFRSALES12,PC_FSRSALES12,REDEMP_SNAPS16,PCT_SNAP16,PC_SNAPBEN15,SNAP_PART_RATE13,SNAP_OAPP16,SNAP_CAP16,SNAP_BBCE16,SNAP_REPORTSIMPLE16,PCT_FREE_LUNCH14,PCT_REDUCED_LUNCH14,PCT_SBP15,PCT_SFSP15,PCT_WIC15,PCT_CACFP15,FDPIR12,FOODINSEC_13_15,VLFOODSEC_13_15,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FMRKT16,FMRKTPTH16,FMRKT_SNAP16,PCT_FMRKT_SNAP16,FMRKT_WIC16,PCT_FMRKT_WIC16,FMRKT_WICCASH16,PCT_FMRKT_WICCASH16,FMRKT_SFMNP16,PCT_FMRKT_SFMNP16,FMRKT_CREDIT16,PCT_FMRKT_CREDIT16,FMRKT_FRVEG16,PCT_FMRKT_FRVEG16,FMRKT_ANMLPROD16,PCT_FMRKT_ANMLPROD16,PCT_FMRKT_BAKED16,PCT_FMRKT_OTHERFOOD16,VEG_FARMS12,FRESHVEG_FARMS12,ORCHARD_ACRESPTH12,BERRY_FARMS12,SLHOUSE12,GHVEG_FARMS12,GHVEG_SQFT12,GHVEG_SQFTPTH12,FOODHUB16,CSA12,AGRITRSM_OPS12,AGRITRSM_RCT12,FARM_TO_SCHOOL13,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,PCH_RECFAC_09_14,RECFACPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,CHILDPOVRATE15,METRO13,USDA Model,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17",POVALL_2017,CI90LBAll_2017,CI90UBALL_2017,PCTPOVALL_2017,CI90LBALLP_2017,CI90UBALLP_2017,POV017_2017,CI90LB017_2017,CI90UB017_2017,PCTPOV017_2017,CI90LB017P_2017,CI90UB017P_2017,POV517_2017,CI90LB517_2017,CI90UB517_2017,PCTPOV517_2017,CI90LB517P_2017,MEDHHINC_2017,CI90LBINC_2017,CI90UBINC_2017,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015
1001,54571.0,6.0,0.072208683,0.0180522,0.541565123,0.0361043,0.760911409460565,0.0900674,0.649878148,0.523512952,674.8027203993418,512.2809872615167,239024.0155731225,16.97643575350071,17.905272402410585,89.184,1.0,0.0,1.0,1.0,,,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,1.0,0.018045329868629997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,100.0,100.0,45.0,43.0,7.285908473040327,5.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,146000.0,,13.0,34.1,25.0,0.090260854,77.2461563834271,17.582598816221072,2.4005424126367485,0.8557658829781385,0.39764710194059116,0.04031445273130417,11.995382162687141,26.777958989206724,56580.0,12.7,18.8,1.0,False,4521.0,12363.0,10697.0,9176.0,12.3,33.6,29.1,25.0,7390.0,6147.0,8633.0,13.4,11.1,15.7,2542.0,2081.0,3003.0,19.3,15.8,22.8,1842.0,1492.0,2192.0,18.6,15.1,58343.0,52121.0,64565.0,25602.0,24272.0,1330.0,5.2
1003,182265.0,24.0,0.14491957,0.0299834,0.589672732,0.12992789,0.949752992301287,0.1415168,0.659633903,1.104387065,674.8027203993418,512.2809872615167,155844.3901893143,16.97643575350071,14.157134207210303,89.184,1.0,0.0,1.0,1.0,36.756438750163426,5.082363707674205,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,4.0,0.01917885722779208,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,2.0,50.0,3.0,75.0,4.0,100.0,75.0,75.0,50.0,50.0,17.652681779028974,41.0,1.0,4.0,62160.0,326.4774470051892,0.0,7.0,16.0,204000.0,0.0,10.4,27.4,38.888888889,0.124930663,83.50478698598195,9.308424546676543,4.384824294296766,0.7351932625572656,0.6287548349930048,0.04334348338957013,16.771184813321263,22.987408443749484,52387.0,12.9,19.6,1.0,False,13997.0,39771.0,45286.0,43968.0,9.8,27.8,31.7,30.7,21199.0,17444.0,24954.0,10.1,8.3,11.9,6734.0,5079.0,8389.0,14.7,11.1,18.3,4871.0,3641.0,6101.0,14.3,10.7,56607.0,52439.0,60775.0,87705.0,82843.0,4862.0,5.5
1005,27457.0,5.0,0.185963477,0.0371927,0.706661212,0.074385391,1.35438731625907,0.2573435,0.818239298,0.55789043,674.8027203993418,512.2809872615167,281716.325971564,16.97643575350071,31.633041492196423,89.184,1.0,0.0,1.0,1.0,63.93180607352158,3.436334576451785,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,4.0,0.154053533602927,2.0,50.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,50.0,2.0,50.0,0.0,0.0,50.0,50.0,7.0,7.0,29.419345336720795,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,304000.0,1.0,18.4,44.4,-100.0,0.0,46.75310485486397,46.691189860509155,5.05153512765415,0.3897002585861529,0.21852350948756236,0.08740940379502495,14.236806643114688,21.906981826128128,31433.0,32.0,45.2,0.0,False,4960.0,6549.0,4707.0,2218.0,26.9,35.5,25.5,12.0,7414.0,6325.0,8503.0,33.4,28.5,38.3,2606.0,2262.0,2950.0,50.3,43.7,56.9,1904.0,1660.0,2148.0,48.8,42.6,32490.0,29218.0,35762.0,8609.0,7844.0,765.0,8.9
1007,22915.0,6.0,0.222162979,0.0444326,0.666488936,0.0444326,0.864873618042368,0.2212683,0.222162979,0.222162979,674.8027203993418,512.2809872615167,256026.91965957452,16.97643575350071,19.47313210111845,89.184,1.0,0.0,1.0,1.0,54.33422698838248,9.115281501340483,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,1.0,0.04416375921918474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.5741542266584224,2.0,0.0,2.0,,,0.0,3.0,6.0,21000.0,0.0,14.8,40.3,0.0,0.0444326,75.02072878027492,21.92450360026184,1.7717652192886755,0.09600698232598735,0.27929303949378137,0.030547676194632337,12.68164957451451,22.696923412611827,40767.0,22.2,29.3,1.0,False,2833.0,6958.0,3971.0,2097.0,17.9,43.9,25.0,13.2,4137.0,3187.0,5087.0,20.2,15.5,24.9,1242.0,936.0,1548.0,27.3,20.6,34.0,870.0,641.0,1099.0,26.8,19.8,45795.0,40924.0,50666.0,8572.0,8005.0,567.0,6.6
1009,57322.0,6.0,0.103951905,0.0173253,0.467783572,0.0,0.815945746106567,0.1037596,0.363831667,0.259879762,674.8027203993418,512.2809872615167,141304.90067256632,16.97643575350071,15.795131423815798,89.184,1.0,0.0,1.0,1.0,44.98797951290896,8.090310442144872,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,1.0,0.017329821156245668,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0,100.0,100.0,64.0,59.0,3.0462475768485184,25.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,30000.0,1.0,14.1,34.6,0.0,0.051976,88.88733819475942,1.2630403684449252,8.070199923240642,0.20062105299884864,0.49719130525801614,0.03140155612155891,14.722096228324203,24.608352813928335,50487.0,14.7,22.2,1.0,False,7980.0,12740.0,13583.0,5172.0,20.2,32.3,34.4,13.1,7343.0,5805.0,8881.0,12.8,10.1,15.5,2484.0,1881.0,3087.0,18.5,14.0,23.0,1763.0,1307.0,2219.0,17.7,13.1,48253.0,43784.0,52722.0,24473.0,23152.0,1321.0,5.4
1011,10914.0,2.0,0.185804534,0.0,0.2787068,0.0,1.06961333075983,0.190949,0.2787068,0.092902267,674.8027203993418,512.2809872615167,210721.36150375943,16.97643575350071,35.278176311174875,89.184,1.0,0.0,1.0,1.0,63.85780118499012,0.0,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,1.0,0.09650646593321752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,61.851782010182916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,466000.0,0.0,19.6,43.0,0.0,0.0,21.916804104819498,69.97434487813817,7.119296316657504,0.1832508704416346,0.1832508704416346,0.03665017408832692,13.459776433938062,22.264980758658602,28251.0,39.6,51.2,0.0,True,2113.0,2699.0,1575.0,990.0,28.6,36.6,21.4,13.4,2956.0,2316.0,3596.0,34.4,27.0,41.8,1015.0,790.0,1240.0,48.3,37.6,59.0,732.0,562.0,902.0,49.0,37.6,29113.0,25929.0,32297.0,4777.0,4398.0,379.0,7.9
1013,20947.0,3.0,0.147812377,0.0492708,1.034686638,0.0,1.29179584625129,0.1969764,0.837603469,0.492707923,674.8027203993418,512.2809872615167,305223.8659354839,16.97643575350071,31.257246016761073,89.184,1.0,0.0,1.0,1.0,65.84142901911626,5.3274835474772795,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,2.0,0.10001000100010002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,23.0,23.0,24.353194825558603,2.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,73000.0,0.0,17.7,36.3,,0.0492708,54.06024729078149,43.18995560223421,0.9118250823506946,0.830667876068172,0.28166324533346065,0.03341767317515635,16.65632310116007,24.137107939084355,33868.0,25.8,36.0,0.0,False,2645.0,5637.0,3423.0,2253.0,18.9,40.4,24.5,16.1,4154.0,3155.0,5153.0,21.3,16.2,26.4,1471.0,1085.0,1857.0,33.0,24.3,41.7,1049.0,759.0,1339.0,31.8,23.0,36842.0,33405.0,40279.0,9134.0,8440.0,694.0,7.6
1015,118572.0,25.0,0.232927292,0.0258808,0.638393319,0.0086269,1.18298708966271,0.1619834,0.888574485,0.66427413,674.8027203993418,512.2809872615167,261900.11985248927,16.97643575350071,26.822656893784966,89.184,1.0,0.0,1.0,1.0,53.5687145612907,7.160811363769218,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,2.0,0.01745033199256616,1.0,50.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0,50.0,2.0,100.0,2.0,100.0,100.0,100.0,15.0,15.0,0.7758811793393926,13.0,2.0,1.0,,,0.0,2.0,9.0,203000.0,0.0,14.9,32.2,0.0,0.0603886,73.61350065782815,20.39014269810748,3.283237189218365,0.6999966265222818,0.40481732618156063,0.07927672637722229,14.328846607968154,22.877239145835443,42091.0,20.0,30.7,1.0,False,13254.0,25440.0,26168.0,14113.0,16.8,32.2,33.1,17.9,19832.0,16938.0,22726.0,17.7,15.1,20.3,5932.0,4701.0,7163.0,24.2,19.2,29.2,4021.0,3066.0,4976.0,22.2,16.9,45937.0,43419.0,48455.0,45910.0,42679.0,3231.0,7.0
1017,34215.0,7.0,0.205423172,0.0293462,0.67496185,0.0586923,1.10805779629465,0.176139,0.763000352,0.469538678,674.8027203993418,512.2809872615167,270583.6106666667,16.97643575350071,27.345318176032272,89.184,1.0,0.0,1.0,1.0,65.34928434095278,7.306131168553728,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,1.0,0.029548207901190792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,100.0,100.0,8.0,8.0,4.402054292002934,5.0,0.0,3.0,5280.0,154.9523110785033,0.0,1.0,14.0,26000.0,0.0,16.4,39.7,-100.0,0.0,58.14116615519509,38.59710653222271,1.5665643723513079,0.4851673242729797,0.16659359929855327,0.020458863071752154,16.676896098202544,22.51351746310098,35560.0,22.4,34.4,0.0,False,4537.0,9109.0,6894.0,3158.0,19.1,38.4,29.1,13.3,6036.0,4653.0,7419.0,18.2,14.0,22.4,2071.0,1529.0,2613.0,29.6,21.8,37.4,1515.0,1092.0,1938.0,30.1,21.7,36883.0,33288.0,40478.0,14975.0,14069.0,906.0,6.1
1019,25989.0,4.0,0.192034413,0.0384069,0.691323885,0.0384069,1.2568837058633,0.230583,0.576103238,0.422475708,674.8027203993418,512.2809872615167,178751.8756701031,16.97643575350071,22.347689756148124,89.184,1.0,0.0,1.0,1.0,51.14899925871016,10.773412404250061,5.2329982595108975,1.0271087814950426,2.7193521519644355,1.055597276711836,0.0,17.6,7.3,4.0,4.0,4.0,4.0,1.0,0.038872691933916424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,100.0,4.0,4.0,1.3065365253813934,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,15000.0,1.0,13.3,33.6,0.0,0.0384069,92.07356958713302,4.640424795105622,1.2312901612220555,0.18854130593712726,0.4694293739659086,0.0038477817538189237,17.896032937011814,21.41675324175613,39144.0,19.4,30.2,0.0,False,3850.0,7179.0,5424.0,2344.0,20.5,38.2,28.9,12.5,4381.0,3453.0,5309.0,17.2,13.6,20.8,1262.0,942.0,1582.0,25.0,18.6,31.4,896.0,658.0,1134.0,23.3,17.1,44842.0,40581.0,49103.0,11158.0,10549.0,609.0,5.5
